Point 0: x = -4.37114e-008, y = 0, z = 1
Vertex 256: x = 0.904508, y = 0.293893, z = -0.309017
Vertex 257: x = 0.769421, y = 0.559017, z = -0.309017
Vertex 258: x = 0.769421, y = 0.559017, z = -0.309017
Vertex 259: x = 0.728115, y = 0.529007, z = 0
Vertex 260: x = 0.855951, y = 0.278115, z = 0
Vertex 261: x = 0.904508, y = 0.293893, z = -0.309017
Vertex 262: x = 0.814057, y = 0.264503, z = -0.278115
Vertex 263: x = 0.692479, y = 0.503115, z = -0.278115
Vertex 264: x = 0.692479, y = 0.503115, z = -0.278115
Vertex 265: x = 0.769421, y = 0.559017, z = -0.309017
Vertex 266: x = 0.904508, y = 0.293893, z = -0.309017
Vertex 267: x = 0.814057, y = 0.264503, z = -0.278115
Vertex 268: x = 0.769421, y = 0.25, z = -0.587785
Vertex 269: x = 0.654508, y = 0.475528, z = -0.587785
Vertex 270: x = 0.654508, y = 0.475528, z = -0.587785
Vertex 271: x = 0.692479, y = 0.503115, z = -0.278115
Vertex 272: x = 0.814057, y = 0.264503, z = -0.278115
Vertex 273: x = 0.769421, y = 0.25, z = -0.587785
Vertex 274: x = 0.692479, y = 0.225, z = -0.529006
Vertex 275: x = 0.589057, y = 0.427975, z = -0.529006
Vertex 276: x = 0.589057, y = 0.427975, z = -0.529006
Vertex 277: x = 0.654508, y = 0.475528, z = -0.587785
Vertex 278: x = 0.769421, y = 0.25, z = -0.587785
Vertex 279: x = 0.692479, y = 0.225, z = -0.529006
Vertex 280: x = 0.559017, y = 0.181636, z = -0.809017
Vertex 281: x = 0.475528, y = 0.345491, z = -0.809017
Vertex 282: x = 0.475528, y = 0.345491, z = -0.809017
Vertex 283: x = 0.589057, y = 0.427975, z = -0.529006
Vertex 284: x = 0.692479, y = 0.225, z = -0.529006
Vertex 285: x = 0.559017, y = 0.181636, z = -0.809017
Vertex 286: x = 0.503115, y = 0.163472, z = -0.728115
Vertex 287: x = 0.427975, y = 0.310942, z = -0.728115
Vertex 288: x = 0.427975, y = 0.310942, z = -0.728115
Vertex 289: x = 0.475528, y = 0.345491, z = -0.809017
Vertex 290: x = 0.559017, y = 0.181636, z = -0.809017
Vertex 291: x = 0.503115, y = 0.163472, z = -0.728115
Vertex 292: x = 0.293893, y = 0.0954915, z = -0.951056
Vertex 293: x = 0.25, y = 0.181636, z = -0.951056
Vertex 294: x = 0.25, y = 0.181636, z = -0.951056
Vertex 295: x = 0.427975, y = 0.310942, z = -0.728115
Vertex 296: x = 0.503115, y = 0.163472, z = -0.728115
Vertex 297: x = 0.293893, y = 0.0954915, z = -0.951056
Vertex 298: x = 0.264503, y = 0.0859424, z = -0.855951
Vertex 299: x = 0.225, y = 0.163472, z = -0.855951
Vertex 300: x = 0.225, y = 0.163472, z = -0.855951
Vertex 301: x = 0.25, y = 0.181636, z = -0.951056
Vertex 302: x = 0.293893, y = 0.0954915, z = -0.951056
Vertex 303: x = 0.264503, y = 0.0859424, z = -0.855951
Vertex 304: x = -4.1572e-008, y = -1.35076e-008, z = -1
Vertex 305: x = -3.53632e-008, y = -2.56929e-008, z = -1
Vertex 306: x = -3.53632e-008, y = -2.56929e-008, z = -1
Vertex 307: x = 0.225, y = 0.163472, z = -0.855951
Vertex 308: x = 0.264503, y = 0.0859424, z = -0.855951
Vertex 309: x = -4.1572e-008, y = -1.35076e-008, z = -1
Vertex 310: x = -3.74148e-008, y = -1.21568e-008, z = -0.9
Vertex 311: x = -3.18269e-008, y = -2.31236e-008, z = -0.9
Vertex 312: x = -3.18269e-008, y = -2.31236e-008, z = -0.9
Vertex 313: x = -3.53632e-008, y = -2.56929e-008, z = -1
Vertex 314: x = -4.1572e-008, y = -1.35076e-008, z = -1
Vertex 315: x = -3.53633e-008, y = -2.56929e-008, z = 1
Vertex 316: x = -3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 317: x = -2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 318: x = -2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 319: x = -2.56929e-008, y = -3.53633e-008, z = 1
Vertex 320: x = -3.53633e-008, y = -2.56929e-008, z = 1
Vertex 321: x = -3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 322: x = 0.25, y = 0.181636, z = 0.951056
Vertex 323: x = 0.181636, y = 0.25, z = 0.951056
Vertex 324: x = 0.181636, y = 0.25, z = 0.951056
Vertex 325: x = -2.31236e-008, y = -3.18269e-008, z = 0.9
Vertex 326: x = -3.18269e-008, y = -2.31236e-008, z = 0.9
Vertex 327: x = 0.25, y = 0.181636, z = 0.951056
Vertex 328: x = 0.225, y = 0.163472, z = 0.855951
Vertex 329: x = 0.163472, y = 0.225, z = 0.855951
Vertex 330: x = 0.163472, y = 0.225, z = 0.855951
Vertex 331: x = 0.181636, y = 0.25, z = 0.951056
Vertex 332: x = 0.25, y = 0.181636, z = 0.951056
Vertex 333: x = 0.225, y = 0.163472, z = 0.855951
Vertex 334: x = 0.475528, y = 0.345491, z = 0.809017
Vertex 335: x = 0.345491, y = 0.475528, z = 0.809017
Vertex 336: x = 0.345491, y = 0.475528, z = 0.809017
Vertex 337: x = 0.163472, y = 0.225, z = 0.855951
Vertex 338: x = 0.225, y = 0.163472, z = 0.855951
Vertex 339: x = 0.475528, y = 0.345491, z = 0.809017
Vertex 340: x = 0.427975, y = 0.310942, z = 0.728115
Vertex 341: x = 0.310942, y = 0.427975, z = 0.728115
Vertex 342: x = 0.310942, y = 0.427975, z = 0.728115
Vertex 343: x = 0.345491, y = 0.475528, z = 0.809017
Vertex 344: x = 0.475528, y = 0.345491, z = 0.809017
Vertex 345: x = 0.427975, y = 0.310942, z = 0.728115
Vertex 346: x = 0.654508, y = 0.475528, z = 0.587785
Vertex 347: x = 0.475528, y = 0.654508, z = 0.587785
Vertex 348: x = 0.475528, y = 0.654508, z = 0.587785
Vertex 349: x = 0.310942, y = 0.427975, z = 0.728115
Vertex 350: x = 0.427975, y = 0.310942, z = 0.728115
Vertex 351: x = 0.654508, y = 0.475528, z = 0.587785
Vertex 352: x = 0.589057, y = 0.427975, z = 0.529007
Vertex 353: x = 0.427975, y = 0.589057, z = 0.529007
Vertex 354: x = 0.427975, y = 0.589057, z = 0.529007
Vertex 355: x = 0.475528, y = 0.654508, z = 0.587785
Vertex 356: x = 0.654508, y = 0.475528, z = 0.587785
Vertex 357: x = 0.589057, y = 0.427975, z = 0.529007
Vertex 358: x = 0.769421, y = 0.559017, z = 0.309017
Vertex 359: x = 0.559017, y = 0.769421, z = 0.309017
Vertex 360: x = 0.559017, y = 0.769421, z = 0.309017
Vertex 361: x = 0.427975, y = 0.589057, z = 0.529007
Vertex 362: x = 0.589057, y = 0.427975, z = 0.529007
Vertex 363: x = 0.769421, y = 0.559017, z = 0.309017
Vertex 364: x = 0.692479, y = 0.503115, z = 0.278115
Vertex 365: x = 0.503115, y = 0.692479, z = 0.278115
Vertex 366: x = 0.503115, y = 0.692479, z = 0.278115
Vertex 367: x = 0.559017, y = 0.769421, z = 0.309017
Vertex 368: x = 0.769421, y = 0.559017, z = 0.309017
Vertex 369: x = 0.692479, y = 0.503115, z = 0.278115
Vertex 370: x = 0.809017, y = 0.587785, z = 0
Vertex 371: x = 0.587785, y = 0.809017, z = 0
Vertex 372: x = 0.587785, y = 0.809017, z = 0
Vertex 373: x = 0.503115, y = 0.692479, z = 0.278115
Vertex 374: x = 0.692479, y = 0.503115, z = 0.278115
Vertex 375: x = 0.809017, y = 0.587785, z = 0
Vertex 376: x = 0.728115, y = 0.529007, z = 0
Vertex 377: x = 0.529007, y = 0.728115, z = 0
Vertex 378: x = 0.529007, y = 0.728115, z = 0
Vertex 379: x = 0.587785, y = 0.809017, z = 0
Vertex 380: x = 0.809017, y = 0.587785, z = 0
Vertex 381: x = 0.728115, y = 0.529007, z = 0
Vertex 382: x = 0.769421, y = 0.559017, z = -0.309017
Vertex 383: x = 0.559017, y = 0.769421, z = -0.309017
Vertex 384: x = 0.559017, y = 0.769421, z = -0.309017
Vertex 385: x = 0.529007, y = 0.728115, z = 0
Vertex 386: x = 0.728115, y = 0.529007, z = 0
Vertex 387: x = 0.769421, y = 0.559017, z = -0.309017
Vertex 388: x = 0.692479, y = 0.503115, z = -0.278115
Vertex 389: x = 0.503115, y = 0.692479, z = -0.278115
Vertex 390: x = 0.503115, y = 0.692479, z = -0.278115
Vertex 391: x = 0.559017, y = 0.769421, z = -0.309017
Vertex 392: x = 0.769421, y = 0.559017, z = -0.309017
Vertex 393: x = 0.692479, y = 0.503115, z = -0.278115
Vertex 394: x = 0.654508, y = 0.475528, z = -0.587785
Vertex 395: x = 0.475528, y = 0.654508, z = -0.587785
Vertex 396: x = 0.475528, y = 0.654508, z = -0.587785
Vertex 397: x = 0.503115, y = 0.692479, z = -0.278115
Vertex 398: x = 0.692479, y = 0.503115, z = -0.278115
Vertex 399: x = 0.654508, y = 0.475528, z = -0.587785
Vertex 400: x = 0.589057, y = 0.427975, z = -0.529006
Vertex 401: x = 0.427975, y = 0.589057, z = -0.529006
Vertex 402: x = 0.427975, y = 0.589057, z = -0.529006
Vertex 403: x = 0.475528, y = 0.654508, z = -0.587785
Vertex 404: x = 0.654508, y = 0.475528, z = -0.587785
Vertex 405: x = 0.589057, y = 0.427975, z = -0.529006
Vertex 406: x = 0.475528, y = 0.345491, z = -0.809017
Vertex 407: x = 0.345491, y = 0.475528, z = -0.809017
Vertex 408: x = 0.345491, y = 0.475528, z = -0.809017
Vertex 409: x = 0.427975, y = 0.589057, z = -0.529006
Vertex 410: x = 0.589057, y = 0.427975, z = -0.529006
Vertex 411: x = 0.475528, y = 0.345491, z = -0.809017
Vertex 412: x = 0.427975, y = 0.310942, z = -0.728115
Vertex 413: x = 0.310942, y = 0.427975, z = -0.728115
Vertex 414: x = 0.310942, y = 0.427975, z = -0.728115
Vertex 415: x = 0.345491, y = 0.475528, z = -0.809017
Vertex 416: x = 0.475528, y = 0.345491, z = -0.809017
Vertex 417: x = 0.427975, y = 0.310942, z = -0.728115
Vertex 418: x = 0.25, y = 0.181636, z = -0.951056
Vertex 419: x = 0.181636, y = 0.25, z = -0.951056
Vertex 420: x = 0.181636, y = 0.25, z = -0.951056
Vertex 421: x = 0.310942, y = 0.427975, z = -0.728115
Vertex 422: x = 0.427975, y = 0.310942, z = -0.728115
Vertex 423: x = 0.25, y = 0.181636, z = -0.951056
Vertex 424: x = 0.225, y = 0.163472, z = -0.855951
Vertex 425: x = 0.163472, y = 0.225, z = -0.855951
Vertex 426: x = 0.163472, y = 0.225, z = -0.855951
Vertex 427: x = 0.181636, y = 0.25, z = -0.951056
Vertex 428: x = 0.25, y = 0.181636, z = -0.951056
Vertex 429: x = 0.225, y = 0.163472, z = -0.855951
Vertex 430: x = -3.53632e-008, y = -2.56929e-008, z = -1
Vertex 431: x = -2.56929e-008, y = -3.53632e-008, z = -1
Vertex 432: x = -2.56929e-008, y = -3.53632e-008, z = -1
Vertex 433: x = 0.163472, y = 0.225, z = -0.855951
Vertex 434: x = 0.225, y = 0.163472, z = -0.855951
Vertex 435: x = -3.53632e-008, y = -2.56929e-008, z = -1
Vertex 436: x = -3.18269e-008, y = -2.31236e-008, z = -0.9
Vertex 437: x = -2.31236e-008, y = -3.18269e-008, z = -0.9
Vertex 438: x = -2.31236e-008, y = -3.18269e-008, z = -0.9
Vertex 439: x = -2.56929e-008, y = -3.53632e-008, z = -1
Vertex 440: x = -3.53632e-008, y = -2.56929e-008, z = -1
Vertex 441: x = -2.56929e-008, y = -3.53633e-008, z = 1
Vertex 442: x = -2.31236e-008, y = -3.18269e-008, z = 0.9
